problem	theme_or_cluster	reason
24-game	CLUSTER-synth	failed to synthesize instance of type class
abbreviating-the-product-of-a-range	T10-misc-quickwins	overloaded, errors
add-bold-tag-in-string	CLUSTER-appmismatch	Application type mismatch: The argument
add-one-row-to-tree	CLUSTER-synth	typeclass instance problem is stuck
add-two-numbers	CLUSTER-flow	invalid reassignment, value has type
airplane-seat-assignment-probability	CLUSTER-appmismatch	Application type mismatch: The argument
alert-using-same-key-card-three-or-more-times-in-a-one-hour-period	CLUSTER-synth	failed to synthesize instance of type class
all-ancestors-of-a-node-in-a-directed-acyclic-graph	CLUSTER-flow	Invalid match expression: The type of pattern variable 'ans' contains metavariables:
allocate-mailboxes	CLUSTER-synth	failed to synthesize instance of type class
amount-of-new-area-painted-each-day	CLUSTER-flow	Type mismatch
amount-of-time-for-binary-tree-to-be-infected	CLUSTER-synth	typeclass instance problem is stuck
analyze-user-website-visit-pattern	CLUSTER-synth	failed to synthesize instance of type class
android-unlock-patterns	CLUSTER-appmismatch	Application type mismatch: The argument
apply-operations-to-make-string-empty	CLUSTER-synth	failed to synthesize instance of type class
apply-operations-to-make-two-strings-equal	CLUSTER-appmismatch	Application type mismatch: The argument
arithmetic-slices-ii-subsequence	CLUSTER-flow	Type mismatch
as-far-from-land-as-possible	CLUSTER-synth	failed to synthesize instance of type class
balance-a-binary-search-tree	CLUSTER-appmismatch	Application type mismatch: The argument
best-meeting-point	CLUSTER-misc	Failed to infer type of binder `v`
best-position-for-a-service-centre	CLUSTER-flow	invalid reassignment, value has type
best-time-to-buy-and-sell-stock	CLUSTER-appmismatch	Application type mismatch: The argument
binary-tree-cameras	CLUSTER-flow	Type mismatch
binary-tree-coloring-game	CLUSTER-misc	Invalid field `left`: The environment does not contain `Option.left`, so it is not possible to proje
binary-tree-vertical-order-traversal	CLUSTER-synth	typeclass instance problem is stuck
bitwise-ors-of-subarrays	CLUSTER-flow	Invalid match expression: The type of pattern variable 'ans' contains metavariables:
bold-words-in-string	CLUSTER-appmismatch	Application type mismatch: The argument
boundary-of-binary-tree	CLUSTER-synth	failed to synthesize instance of type class
brace-expansion	CLUSTER-flow	Invalid match expression: The type of pattern variable 't' contains metavariables:
brace-expansion-ii	T8-method-optional-args	Function expected at
brightest-position-on-street	CLUSTER-synth	failed to synthesize instance of type class
buddy-strings	CLUSTER-synth	failed to synthesize instance of type class
build-a-matrix-with-conditions	CLUSTER-misc	Failed to infer type of binder `v`
campus-bikes	CLUSTER-appmismatch	Application type mismatch: The argument
campus-bikes-ii	CLUSTER-appmismatch	Application type mismatch: The argument
car-fleet	CLUSTER-flow	invalid reassignment, value has type
car-pooling	CLUSTER-misc	invalid binder name `Libraries.math.pyMathER`, it must be atomic
cat-and-mouse	CLUSTER-misc	Unknown identifier `CAT_TURN`
chalkboard-xor-game	CLUSTER-synth	failed to synthesize instance of type class
check-completeness-of-a-binary-tree	CLUSTER-misc	Invalid field `getD`: The environment does not contain `TreeNode.getD`, so it is not possible to pro
check-for-contradictions-in-equations	CLUSTER-appmismatch	Application type mismatch: The argument
check-if-move-is-legal	CLUSTER-synth	failed to synthesize instance of type class
check-if-one-string-swap-can-make-strings-equal	CLUSTER-appmismatch	Application type mismatch: The argument
check-if-there-is-a-path-with-equal-number-of-0s-and-1s	REGRESSION	Application type mismatch: The argument
check-if-there-is-a-valid-parentheses-string-path	CLUSTER-appmismatch	Application type mismatch: The argument
check-if-word-is-valid-after-substitutions	REGRESSION	failed to synthesize instance of type class
check-knight-tour-configuration	CLUSTER-appmismatch	Application type mismatch: The argument
cherry-pickup	CLUSTER-appmismatch	Application type mismatch: The argument
cherry-pickup-ii	CLUSTER-appmismatch	Application type mismatch: The argument
choose-edges-to-maximize-score-in-a-tree	CLUSTER-appmismatch	Application type mismatch: The argument
clone-binary-tree-with-random-pointer	CLUSTER-misc	Unknown identifier `anonymous`
closest-leaf-in-a-binary-tree	CLUSTER-synth	typeclass instance problem is stuck
closest-node-to-path-in-tree	CLUSTER-appmismatch	Application type mismatch: The argument
closest-prime-numbers-in-range	CLUSTER-appmismatch	Application type mismatch: The argument
coin-change	CLUSTER-appmismatch	Application type mismatch: The argument
collect-coins-in-a-tree	CLUSTER-appmismatch	Application type mismatch: The argument
complex-number-multiplication	CLUSTER-appmismatch	Application type mismatch: The argument
concatenated-words	CLUSTER-appmismatch	Application type mismatch: The argument
connecting-cities-with-minimum-cost	C1-closure-recursion	Unknown identifier `find`
construct-binary-search-tree-from-preorder-traversal	CLUSTER-flow	Type mismatch
construct-binary-tree-from-inorder-and-postorder-traversal	CLUSTER-appmismatch	Application type mismatch: The argument
construct-binary-tree-from-preorder-and-inorder-traversal	CLUSTER-appmismatch	Application type mismatch: The argument
construct-binary-tree-from-preorder-and-postorder-traversal	CLUSTER-appmismatch	Application type mismatch: The argument
construct-smallest-number-from-di-string	CLUSTER-synth	failed to synthesize instance of type class
continuous-subarrays	C4-library-gaps	Unknown identifier `SortedList`
convert-binary-number-in-a-linked-list-to-integer	CLUSTER-synth	failed to synthesize instance of type class
convert-sorted-array-to-binary-search-tree	CLUSTER-appmismatch	Application type mismatch: The argument
convert-sorted-list-to-binary-search-tree	CLUSTER-appmismatch	Application type mismatch: The argument
coordinate-with-maximum-network-quality	CLUSTER-synth	failed to synthesize instance of type class
count-artifacts-that-can-be-extracted	CLUSTER-appmismatch	Application type mismatch: The argument
count-good-nodes-in-binary-tree	CLUSTER-appmismatch	Application type mismatch: The argument
count-good-triplets-in-an-array	CLUSTER-synth	failed to synthesize instance of type class
count-k-subsequences-of-a-string-with-maximum-beauty	T8-method-optional-args	Function expected at
count-lattice-points-inside-a-circle	CLUSTER-appmismatch	Application type mismatch: The argument
count-number-of-possible-root-nodes	CLUSTER-synth	failed to synthesize instance of type class
count-number-of-special-subsequences	CLUSTER-synth	failed to synthesize instance of type class
count-of-smaller-numbers-after-self	CLUSTER-synth	failed to synthesize instance of type class
count-of-sub-multisets-with-bounded-sum	CLUSTER-appmismatch	Application type mismatch: The argument
count-pairs-of-nodes	CLUSTER-synth	failed to synthesize instance of type class
count-pairs-of-points-with-distance-k	CLUSTER-synth	failed to synthesize instance of type class
count-pairs-whose-sum-is-less-than-target	T7-kwarg-in-spine	Invalid argument name `hi` for function `bisect.pyBisectLeft`
count-pairs-with-xor-in-a-range	CLUSTER-appmismatch	Application type mismatch: The argument
count-prefix-and-suffix-pairs-ii	CLUSTER-flow	Type mismatch
count-special-integers	CLUSTER-synth	failed to synthesize instance of type class
count-subarrays-with-more-ones-than-zeros	CLUSTER-flow	Type mismatch
count-subtrees-with-max-distance-between-cities	CLUSTER-misc	`msk` cannot be mutated, only variables declared using `let mut` can be mutated. If you did not inte
count-symmetric-integers	CLUSTER-appmismatch	Application type mismatch: The argument
count-the-number-of-fair-pairs	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectLeft`
count-the-number-of-k-big-indices	CLUSTER-synth	failed to synthesize instance of type class
count-the-number-of-powerful-integers	CLUSTER-appmismatch	Application type mismatch: The argument
count-the-number-of-square-free-subsets	CLUSTER-synth	failed to synthesize instance of type class
count-the-number-of-substrings-with-dominant-ones	CLUSTER-synth	failed to synthesize instance of type class
count-unhappy-friends	CLUSTER-synth	failed to synthesize instance of type class
count-vowel-strings-in-ranges	CLUSTER-appmismatch	Application type mismatch: The argument
couples-holding-hands	C1-closure-recursion	Unknown identifier `find`
course-schedule-iii	CLUSTER-appmismatch	Application type mismatch: The argument
course-schedule-iv	CLUSTER-appmismatch	Application type mismatch: The argument
cousins-in-binary-tree	CLUSTER-flow	Invalid match expression: The type of pattern variable 'd1' contains metavariables:
cousins-in-binary-tree-ii	CLUSTER-synth	typeclass instance problem is stuck
deepest-leaves-sum	CLUSTER-misc	Unknown identifier `ans`
delete-n-nodes-after-m-nodes-of-a-linked-list	CLUSTER-synth	failed to synthesize instance of type class
delete-nodes-from-linked-list-present-in-array	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
delete-the-middle-node-of-a-linked-list	T7-kwarg-in-spine	Invalid argument name `next` for function `ListNode.new`
destination-city	CLUSTER-appmismatch	Application type mismatch: The argument
detect-cycles-in-2d-grid	CLUSTER-synth	failed to synthesize instance of type class
diagonal-traverse-ii	CLUSTER-synth	failed to synthesize instance of type class
display-table-of-food-orders-in-a-restaurant	CLUSTER-synth	failed to synthesize instance of type class
distinct-numbers-in-each-subarray	CLUSTER-flow	invalid reassignment, value has type
distribute-elements-into-two-arrays-ii	CLUSTER-flow	Type mismatch
divide-an-array-into-subarrays-with-minimum-cost-ii	C4-library-gaps	Unknown identifier `SortedList`
double-a-number-represented-as-a-linked-list	CLUSTER-flow	invalid reassignment, value has type
dungeon-game	CLUSTER-synth	failed to synthesize instance of type class
earliest-possible-day-of-full-bloom	CLUSTER-synth	failed to synthesize instance of type class
earliest-second-to-mark-indices-i	CLUSTER-appmismatch	Application type mismatch: The argument
egg-drop-with-2-eggs-and-n-floors	CLUSTER-appmismatch	Application type mismatch: The argument
elements-in-array-after-removing-and-replacing-elements	REGRESSION	Application type mismatch: The argument
encode-string-with-shortest-length	T8-method-optional-args	Function expected at
equal-rational-numbers	CLUSTER-appmismatch	Application type mismatch: The argument
escape-a-large-maze	CLUSTER-synth	failed to synthesize instance of type class
escape-the-ghosts	CLUSTER-appmismatch	Application type mismatch: The argument
evaluate-reverse-polish-notation	CLUSTER-misc	Unknown identifier `operator.add`
